Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
11/1/81,431,"1,736",853,122,"1,977",491,283,70
12/1/81,437,"1,756",890,126,"2,039",507,289,72
1/1/82,443,"1,770",875,123,"1,977",494,278,69
2/1/82,442,"1,775",852,118,"1,927",480,267,66
3/1/82,443,"1,787",828,113,"1,871",464,255,63
4/1/82,447,"1,804",833,114,"1,864",462,255,63
5/1/82,447,"1,815",848,116,"1,899",467,260,64
6/1/82,448,"1,826",815,112,"1,821",446,250,61
7/1/82,448,"1,832",803,109,"1,793",439,243,60
8/1/82,451,"1,845",809,107,"1,791",438,237,58
9/1/82,457,"1,858",895,118,"1,959",482,258,63
10/1/82,465,"1,870",908,122,"1,954",486,263,65
11/1/82,472,"1,884","1,006",136,"2,133",534,288,72
12/1/82,475,"1,906","1,031",139,"2,172",541,293,73
1/1/83,477,"1,959","1,047",141,"2,193",534,295,72
2/1/83,484,"1,997","1,060",143,"2,188",531,295,72
3/1/83,491,"2,015","1,131",151,"2,305",561,308,75
4/1/83,493,"2,029","1,130",153,"2,291",557,310,75
5/1/83,500,"2,043","1,226",164,"2,452",600,328,80
6/1/83,504,"2,054","1,202",163,"2,385",585,323,79
7/1/83,508,"2,065","1,225",169,"2,413",593,333,82
8/1/83,511,"2,074","1,194",162,"2,339",576,317,78
9/1/83,513,"2,083","1,207",164,"2,353",579,320,79
10/1/83,517,"2,099","1,233",166,"2,384",587,321,79
11/1/83,519,"2,112","1,229",164,"2,369",582,316,78
12/1/83,521,"2,124","1,275",167,"2,446",600,320,79
1/1/84,525,"2,138","1,259",165,"2,397",589,314,77
2/1/84,528,"2,158","1,212",163,"2,298",562,309,76
3/1/84,531,"2,175","1,159",158,"2,182",533,297,73
4/1/84,535,"2,192","1,165",159,"2,177",532,297,73
5/1/84,537,"2,204","1,183",162,"2,204",537,302,73
6/1/84,540,"2,215","1,124",153,"2,081",508,283,69
7/1/84,541,"2,224","1,132",153,"2,094",509,283,69
8/1/84,541,"2,230","1,135",154,"2,097",509,285,69
9/1/84,543,"2,244","1,224",167,"2,254",546,307,74
10/1/84,544,"2,259","1,199",165,"2,205",531,303,73
11/1/84,548,"2,281","1,217",168,"2,223",533,307,74
12/1/84,552,"2,306","1,189",164,"2,155",515,297,71
1/1/85,557,"2,332","1,212",167,"2,175",519,300,72
2/1/85,564,"2,354","1,278",179,"2,267",543,318,76
3/1/85,567,"2,366","1,299",183,"2,293",549,323,77
4/1/85,570,"2,375","1,273",181,"2,231",536,317,76
5/1/85,575,"2,390","1,242",178,"2,160",520,310,74
6/1/85,582,"2,413","1,315",190,"2,259",545,326,79
7/1/85,589,"2,430","1,337",192,"2,270",550,326,79
