Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
6/1/74,269,878,802,87,"2,988",914,324,99
7/1/74,269,881,806,86,"2,994",915,319,98
8/1/74,270,884,751,79,"2,781",850,292,89
9/1/74,271,888,679,72,"2,504",764,266,81
10/1/74,272,893,605,63,"2,221",677,231,71
11/1/74,274,899,665,74,"2,431",740,270,82
12/1/74,274,902,619,70,"2,256",686,255,78
1/1/75,274,906,616,69,"2,250",680,252,76
2/1/75,275,914,704,77,"2,559",770,280,84
3/1/75,276,925,739,82,"2,674",799,297,89
4/1/75,276,935,762,83,"2,757",814,301,89
5/1/75,279,948,831,88,"2,976",877,315,93
6/1/75,282,963,832,91,"2,947",864,322,94
7/1/75,284,975,877,95,"3,093",900,335,97
8/1/75,284,983,827,88,"2,909",841,310,90
9/1/75,286,992,835,87,"2,924",843,305,88
10/1/75,285,998,784,83,"2,748",786,291,83
11/1/75,287,"1,007",836,89,"2,915",830,310,88
12/1/75,287,"1,016",856,91,"2,983",843,317,90
1/1/76,288,"1,027",852,90,"2,956",830,312,88
2/1/76,291,"1,040",975,101,"3,354",937,347,97
3/1/76,293,"1,050",975,100,"3,332",929,342,95
4/1/76,295,"1,061",994,102,"3,373",937,346,96
5/1/76,296,"1,072",997,102,"3,369",930,345,95
6/1/76,296,"1,078",973,100,"3,285",903,338,93
7/1/76,297,"1,086",995,104,"3,347",916,350,96
8/1/76,299,"1,099",985,103,"3,293",896,344,94
9/1/76,300,"1,111",986,104,"3,291",888,347,94
10/1/76,302,"1,125",980,104,"3,245",871,344,92
11/1/76,304,"1,138",966,103,"3,182",849,339,90
12/1/76,306,"1,152",949,103,"3,101",824,336,89
1/1/77,308,"1,165","1,005",108,"3,259",862,350,93
2/1/77,312,"1,178",958,103,"3,077",814,331,87
3/1/77,314,"1,189",945,101,"3,010",795,322,85
4/1/77,316,"1,200",927,99,"2,935",773,313,83
5/1/77,317,"1,209",927,98,"2,922",767,309,81
6/1/77,319,"1,218",907,97,"2,844",744,304,80
7/1/77,320,"1,227",913,100,"2,850",744,312,82
8/1/77,322,"1,237",892,99,"2,767",721,307,80
9/1/77,325,"1,246",865,97,"2,665",694,299,78
10/1/77,326,"1,254",847,97,"2,595",676,297,77
11/1/77,329,"1,262",807,91,"2,456",639,277,72
12/1/77,331,"1,270",826,95,"2,495",650,287,75
1/1/78,334,"1,280",831,95,"2,486",650,284,74
2/1/78,335,"1,286",774,90,"2,309",602,268,70
3/1/78,337,"1,292",743,87,"2,206",575,258,67
4/1/78,340,"1,300",757,89,"2,228",582,262,68
5/1/78,345,"1,311",844,98,"2,448",644,284,75
6/1/78,347,"1,319",841,97,"2,423",638,280,74
7/1/78,348,"1,324",819,96,"2,356",618,276,73
8/1/78,350,"1,334",861,101,"2,462",645,289,76
9/1/78,352,"1,345",879,104,"2,497",654,295,77
10/1/78,353,"1,352",866,103,"2,451",640,292,76
11/1/78,355,"1,359",828,97,"2,329",609,273,71
12/1/78,357,"1,366",812,96,"2,271",594,269,70
1/1/79,359,"1,372",805,96,"2,245",587,268,70
2/1/79,360,"1,378",841,100,"2,336",610,278,73
3/1/79,363,"1,388",816,97,"2,251",588,268,70
4/1/79,368,"1,402",862,102,"2,343",615,277,73
5/1/79,370,"1,410",856,102,"2,315",607,276,72
6/1/79,373,"1,423",821,99,"2,199",577,265,70
7/1/79,377,"1,435",842,103,"2,232",587,273,72
8/1/79,379,"1,447",850,104,"2,245",588,275,72
9/1/79,379,"1,454",888,109,"2,340",610,287,75
10/1/79,381,"1,460",873,109,"2,292",598,286,75
11/1/79,381,"1,466",820,103,"2,154",559,270,70
12/1/79,382,"1,474",822,106,"2,154",558,278,72
1/1/80,386,"1,483",839,108,"2,174",566,280,73
2/1/80,390,"1,495",882,115,"2,260",590,295,77
3/1/80,388,"1,500",863,114,"2,222",576,294,76
4/1/80,384,"1,502",785,102,"2,044",522,266,68
5/1/80,385,"1,512",809,106,"2,102",535,275,70
6/1/80,389,"1,529",851,111,"2,187",556,285,73
7/1/80,394,"1,546",872,115,"2,214",564,292,74
8/1/80,399,"1,562",932,121,"2,333",597,303,77
9/1/80,405,"1,574",933,122,"2,304",592,301,78
10/1/80,409,"1,585",939,127,"2,297",593,311,80
11/1/80,411,"1,596",925,128,"2,251",579,312,80
12/1/80,409,"1,600",970,137,"2,373",606,335,86
1/1/81,411,"1,607",964,136,"2,344",600,331,85
2/1/81,415,"1,619",947,130,"2,284",585,313,80
3/1/81,419,"1,637",975,131,"2,326",595,313,80
4/1/81,427,"1,659","1,014",137,"2,373",611,321,83
5/1/81,425,"1,664",996,133,"2,344",598,313,80
6/1/81,425,"1,670",998,132,"2,347",597,310,79
7/1/81,427,"1,682",968,130,"2,267",575,305,77
8/1/81,427,"1,694",952,131,"2,231",562,307,77
9/1/81,427,"1,706",883,123,"2,067",517,288,72
10/1/81,428,"1,722",852,117,"1,989",495,273,68
