Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
2/28/89,192521,893464,2197853,2393302,1290,"6,699","1,444",587,539
3/31/89,193910,908243,2222161,2423922,1320,"6,807","1,453",594,545
4/30/89,194812,901575,2224430,2431297,1374,"7,053","1,524",618,565
5/31/89,195548,907746,2240671,2452172,1407,"7,195","1,550",628,574
6/30/89,197473,920566,2263203,2480570,1477,"7,481","1,605",653,596
7/31/89,198021,926896,2280165,2502846,1549,"7,821","1,671",679,619
8/31/89,198127,933145,2292824,2519586,1595,"8,049","1,709",696,633
9/30/89,199930,935497,2303555,2534023,1571,"7,856","1,679",682,620
10/31/89,200062,941093,2312607,2548639,1465,"7,322","1,557",633,575
11/30/89,201096,947348,2326287,2568371,1556,"7,740","1,643",669,606
12/31/89,203800,956837,2343345,2593728,1778,"8,725","1,858",759,686
1/31/90,203425,965584,2360748,2621156,1821,"8,953","1,886",771,695
2/28/90,204849,965756,2368976,2636316,1807,"8,819","1,871",763,685
3/31/90,203933,965508,2371264,2644762,1967,"9,644","2,037",829,744
4/30/90,204598,966414,2378067,2655640,1813,"8,861","1,876",762,683
5/31/90,204506,972359,2386578,2670162,1837,"8,981","1,889",770,688
6/30/90,206184,1006819,2494707,2786501,1885,"9,141","1,872",755,676
7/31/90,210743,1014117,2506891,2804287,1923,"9,124","1,896",767,686
8/31/90,211584,1022099,2521801,2823790,1622,"7,666","1,587",643,574
9/30/90,212444,1028301,2539282,2846434,1328,"6,251","1,291",523,467
10/31/90,214281,1027958,2548320,2864450,1435,"6,694","1,395",563,501
11/30/90,215844,1033314,2560619,2884653,1437,"6,656","1,390",561,498
12/31/90,217643,1058884,2573883,2907362,1389,"6,384","1,312",540,478
1/31/91,219394,1056331,2583655,2923138,1421,"6,478","1,345",550,486
2/28/91,221115,1065570,2601663,2947536,1564,"7,075","1,468",601,531
3/31/91,221881,1059848,2601696,2954443,1515,"6,829","1,430",582,513
4/30/91,223647,1064370,2615487,2969291,1607,"7,185","1,510",614,541
5/31/91,224672,1070969,2630099,2986959,1708,"7,602","1,595",649,572
6/30/91,226251,1073039,2639742,3003602,1624,"7,177","1,513",615,541
7/31/91,227952,1080404,2650528,3025478,1619,"7,104","1,499",611,535
8/31/91,229666,1083755,2665240,3050014,1650,"7,184","1,522",619,541
9/30/91,230610,1081506,2672023,3064203,1605,"6,962","1,484",601,524
10/31/91,232753,1081901,2683318,3083316,1580,"6,787","1,460",589,512
11/30/91,233968,1091345,2704447,3109460,1571,"6,715","1,440",581,505
