Date,Value
1972-10-01,111.58
1972-11-01,116.67
1972-12-01,118.05
1973-01-01,116.03
1973-02-01,111.68
1973-03-01,111.52
1973-04-01,106.97
1973-05-01,104.95
1973-06-01,104.26
1973-07-01,108.22
1973-08-01,104.25
1973-09-01,108.43
1973-10-01,108.29
1973-11-01,95.96
1973-12-01,97.55
1974-01-01,96.57
1974-02-01,96.22
1974-03-01,93.98
1974-04-01,90.31
1974-05-01,87.28
1974-06-01,86
1974-07-01,79.31
1974-08-01,72.15
1974-09-01,63.54
1974-10-01,73.9
1974-11-01,69.97
1974-12-01,68.56
1975-01-01,76.98
1975-02-01,81.59
1975-03-01,83.36
1975-04-01,87.3
1975-05-01,91.15
1975-06-01,95.19
1975-07-01,88.75
1975-08-01,86.88
1975-09-01,83.87
1975-10-01,89.04
1975-11-01,91.24
1975-12-01,90.19
1976-01-01,100.86
1976-02-01,99.71
1976-03-01,102.77
1976-04-01,101.64
1976-05-01,100.18
1976-06-01,104.28
1976-07-01,103.44
1976-08-01,102.91
1976-09-01,105.24
1976-10-01,102.9
1976-11-01,102.1
1976-12-01,107.46
1977-01-01,102.03
1977-02-01,99.82
1977-03-01,98.42
1977-04-01,98.44
1977-05-01,96.12
1977-06-01,100.48
1977-07-01,98.85
1977-08-01,96.77
1977-09-01,96.53
1977-10-01,92.34
1977-11-01,94.83
1977-12-01,95.1
1978-01-01,89.25
1978-02-01,87.04
1978-03-01,89.21
1978-04-01,96.83
1978-05-01,97.24
1978-06-01,95.53
1978-07-01,100.68
1978-08-01,103.29
1978-09-01,102.54
1978-10-01,93.15
1978-11-01,94.7
1978-12-01,96.11
1979-01-01,99.93
1979-02-01,96.28
1979-03-01,101.59
1979-04-01,101.76
1979-05-01,99.08
1979-06-01,102.91
1979-07-01,103.81
1979-08-01,109.32
1979-09-01,109.32
1979-10-01,101.82
1979-11-01,106.16
1979-12-01,107.94
1980-01-01,114.16
1980-02-01,113.66
1980-03-01,102.09
1980-04-01,106.29
1980-05-01,111.24
1980-06-01,114.24
1980-07-01,121.67
1980-08-01,122.38
1980-09-01,125.46
1980-10-01,127.47
1980-11-01,140.52
1980-12-01,135.76
1981-01-01,129.55
1981-02-01,131.27
1981-03-01,136
1981-04-01,132.81
1981-05-01,132.59
1981-06-01,131.21
1981-07-01,130.92
1981-08-01,122.79
1981-09-01,116.18
1981-10-01,121.89
1981-11-01,126.35
1981-12-01,122.55
1982-01-01,120.4
1982-02-01,113.11
1982-03-01,111.96
1982-04-01,116.44
1982-05-01,111.88
1982-06-01,109.61
1982-07-01,107.09
1982-08-01,119.51
1982-09-01,120.42
1982-10-01,133.72
1982-11-01,138.53
1982-12-01,140.64
