Rank,Symbol,Company,Market Cap,Price,Change,Revenue
138,RCL,Royal Caribbean Cruises Ltd.,75.76B,277.8,-3.15%,17.44B
139,BK,The Bank of New York Mellon Corporation,75.36B,108.06,0.12%,19.73B
140,GLW,Corning Incorporated,75.02B,87.5,-1.77%,14.92B
141,JCI,Johnson Controls International plc,74.06B,113.18,-1.06%,23.40B
142,TDG,TransDigm Group Incorporated,73.26B,"1,300.00",-0.65%,8.58B
143,CTAS,Cintas Corporation,73.16B,182.04,-0.67%,10.56B
144,MDLZ,"Mondelez International, Inc.",73.10B,56.65,-1.41%,37.65B
145,AON,Aon plc,73.04B,339.84,0.19%,17.03B
146,ECL,Ecolab Inc.,72.92B,257.45,0.41%,15.89B
147,TEL,TE Connectivity plc,72.72B,246.87,-0.06%,17.26B
148,USB,U.S. Bancorp,72.55B,46.62,-0.13%,26.01B
149,WMB,"The Williams Companies, Inc.",72.09B,59.03,2.00%,11.61B
150,PNC,"The PNC Financial Services Group, Inc.",71.70B,182.74,0.10%,21.80B
151,MAR,"Marriott International, Inc.",71.64B,263.89,1.27%,6.78B
152,APO,"Apollo Global Management, Inc.",70.90B,123.95,-0.29%,25.18B
153,ITW,Illinois Tool Works Inc.,70.53B,243.13,-0.32%,15.88B
154,ELV,"Elevance Health, Inc.",69.60B,313.19,-1.26%,194.82B
155,CI,The Cigna Group,69.08B,258.62,5.81%,268.08B
156,PWR,"Quanta Services, Inc.",67.22B,450.82,0.38%,27.19B
157,FTNT,"Fortinet, Inc.",67.06B,87.52,1.26%,6.34B
158,CSX,CSX Corporation,66.72B,35.83,-0.53%,14.12B
159,SPG,"Simon Property Group, Inc.",66.64B,176.67,0.52%,6.16B
160,COR,"Cencora, Inc.",66.10B,340.93,0.92%,316.65B
161,REGN,"Regeneron Pharmaceuticals, Inc.",65.89B,642.25,-1.47%,14.25B
162,VST,Vistra Corp.,65.41B,193.04,2.52%,18.51B
163,MSI,"Motorola Solutions, Inc.",65.21B,391.5,-3.74%,11.31B
164,MNST,Monster Beverage Corporation,64.94B,66.51,-0.48%,7.66B
165,ADSK,"Autodesk, Inc.",64.60B,303.64,0.76%,6.61B
166,AEP,"American Electric Power Company, Inc.",64.19B,119.92,-0.28%,21.26B
167,ZTS,Zoetis Inc.,63.97B,144.35,0.18%,9.39B
168,GM,General Motors Company,63.95B,68.22,-1.26%,187.44B
169,PYPL,"PayPal Holdings, Inc.",63.94B,68.34,-1.34%,32.86B
170,RSG,"Republic Services, Inc.",63.55B,205.28,-1.42%,16.50B
171,WDAY,"Workday, Inc.",63.46B,237.68,-0.93%,8.96B
172,NSC,Norfolk Southern Corporation,63.32B,282.17,-0.43%,12.23B
173,AJG,Arthur J. Gallagher & Co.,62.40B,242.98,-2.61%,12.08B
174,CL,Colgate-Palmolive Company,60.44B,74.98,-2.69%,20.10B
175,SRE,Sempra,60.41B,92.58,0.70%,13.34B
176,CMI,Cummins Inc.,60.31B,437.71,0.01%,33.72B
177,HLT,Hilton Worldwide Holdings Inc.,60.22B,259.09,0.83%,4.87B
178,DLR,"Digital Realty Trust, Inc.",60.14B,171.96,0.91%,5.84B
179,TRV,"The Travelers Companies, Inc.",59.71B,267.66,-0.36%,48.40B
180,FDX,FedEx Corporation,59.69B,252.99,-0.33%,88.59B
181,MPC,Marathon Petroleum Corporation,59.52B,195.79,0.45%,134.19B
182,AZO,"AutoZone, Inc.",59.48B,"3,576.14",-2.67%,18.94B
183,FCX,Freeport-McMoRan Inc.,59.13B,41.18,-1.25%,26.00B
184,KMI,"Kinder Morgan, Inc.",58.02B,26.08,1.84%,16.42B
185,IDXX,"IDEXX Laboratories, Inc.",57.84B,722.94,14.84%,4.17B
186,EOG,"EOG Resources, Inc.",57.68B,105.64,-0.19%,22.80B
187,AFL,Aflac Incorporated,57.21B,106.97,-0.21%,15.91B
188,AXON,"Axon Enterprise, Inc.",56.85B,724.1,-1.11%,2.39B
189,STX,Seagate Technology Holdings plc,56.71B,265.55,3.78%,9.56B
190,TFC,Truist Financial Corporation,56.57B,44.22,-0.92%,18.28B
191,DDOG,"Datadog, Inc.",56.52B,162.08,-0.45%,3.02B
192,PSX,Phillips 66,55.57B,137.92,1.31%,131.95B
193,SLB,SLB N.V.,55.31B,37.02,2.66%,35.25B
194,WBD,"Warner Bros. Discovery, Inc.",55.18B,22.29,-0.71%,38.44B
195,URI,"United Rentals, Inc.",54.56B,857.41,-1.58%,15.99B
196,WDC,Western Digital Corporation,54.03B,158.02,5.20%,10.13B
197,LHX,"L3Harris Technologies, Inc.",53.98B,288.59,-0.18%,21.74B
198,O,Realty Income Corporation,53.69B,58.2,0.38%,5.61B
199,APD,"Air Products and Chemicals, Inc.",53.27B,239.36,-1.33%,12.06B
200,NXPI,NXP Semiconductors N.V.,52.95B,210.39,0.61%,12.05B
201,MET,"MetLife, Inc.",52.68B,79.21,-0.76%,73.01B
202,ROST,"Ross Stores, Inc.",52.43B,161.2,1.43%,21.50B
203,VLO,Valero Energy Corporation,52.34B,171.6,1.20%,116.55B
204,F,Ford Motor Company,51.84B,13.01,-0.91%,189.59B
205,PCAR,PACCAR Inc,51.19B,97.46,-0.96%,29.53B
206,BDX,"Becton, Dickinson and Company",50.82B,177.3,-0.79%,21.39B
207,ALL,The Allstate Corporation,50.40B,191.25,-0.14%,66.22B
208,D,"Dominion Energy, Inc.",49.95B,58.49,-0.34%,15.81B
209,EA,Electronic Arts Inc.,49.85B,199.89,-0.08%,7.29B
210,NDAQ,"Nasdaq, Inc.",49.33B,86.39,1.05%,8.17B
211,PSA,Public Storage,48.84B,277.62,-0.34%,4.80B
212,EW,Edwards Lifesciences Corporation,48.77B,83.07,0.75%,5.88B
213,CARR,Carrier Global Corporation,48.73B,57.86,-2.74%,22.06B
214,ROP,"Roper Technologies, Inc.",48.28B,448.54,0.54%,7.72B
215,MPWR,"Monolithic Power Systems, Inc.",48.09B,"1,003.93",-0.11%,2.66B
216,XEL,Xcel Energy Inc.,48.07B,81.26,0.11%,14.23B
217,BKR,Baker Hughes Company,48.00B,48.64,0.48%,27.71B
218,TTWO,"Take-Two Interactive Software, Inc.",47.16B,255.65,-0.28%,5.80B
219,FAST,Fastenal Company,47.12B,41.04,-0.27%,8.00B
220,EXC,Exelon Corporation,46.66B,46.2,0.17%,23.77B
221,GWW,"W.W. Grainger, Inc.",45.95B,966.32,-1.30%,17.75B
222,AME,"AMETEK, Inc.",45.74B,198.71,-1.68%,7.16B
223,XYZ,"Block, Inc.",45.29B,74.3,-2.16%,23.83B
224,CAH,"Cardinal Health, Inc.",45.20B,190.22,-0.29%,234.31B
